Doença,Faixa de Idade,Sintomas,Especialista
icterícia neonatal,recem-nascido,pele amarelada; olhos amarelados,hematologico
infecção generalizada neonatal,recem-nascido,febre; fraqueza; dificuldade para respirar,infeccioso
infecções congênitas,recem-nascido,alterações no desenvolvimento; baixo peso ao nascer,infeccioso
alergia à proteína do leite de vaca (aplv),recem-nascido,dor abdominal; vômitos; diarreia,clinico_geral
pneumonia,recem-nascido,febre; tosse; dificuldade para respirar,respiratorio
doença do refluxo gostroesofágico,recem-nascido,regurgitação frequente; irritabilidade; dificuldade para ganhar peso,digestivo
gastroenterite,recem-nascido,vômitos; diarreia; febre,digestivo
meningite,recem-nascido,febre alta; rigidez na nuca; irritabilidade,neurologico
cólica do lactente,recem-nascido,choro intenso; desconforto abdominal; gases,clinico_geral
cardiopatia congênita,recem-nascido,dificuldade para respirar; cianose; cansaço,cardiovascular
anemia,recem-nascido,palidez; fraqueza; cansaço,hematologico
anemia hemolítica,recem-nascido,icterícia; cansaço; aumento do baço,hematologico
síndrome gripal,lactente,tosse; febre; dor no corpo,clinico_geral
bronquiolite,lactente,tosse; chiado no peito; dificuldade para respirar,respiratorio
lactente chiador,lactente,chiado ao respirar; tosse frequente,respiratorio
pneumonia,lactente,febre; tosse; dificuldade para respirar,respiratorio
gastroenterite,lactente,vômitos; diarreia; desidratação,digestivo
alergia à proteína do leite de vaca,lactente,vômitos; diarreia; irritação na pele,clinico_geral
constipação intestinal,lactente,dificuldade para evacuar; dor abdominal; fezes ressecadas,digestivo
meningite,lactente,febre alta; rigidez na nuca; irritabilidade,neurologico
infecção urinária,lactente,febre; dor ao urinar; urina com odor forte,urinario
cardiopática congênita,lactente,cansaço ao se alimentar; dificuldade para respirar; cianose,cardiovascular
obstrução intestinal,lactente,vômitos; distensão abdominal; ausência de evacuação,digestivo
hérnia inguinal,lactente,abaulamento na região inguinal; dor local; choro,clinico_geral
hérnia escrotal,lactente,abaulamento no escroto; dor; irritação,clinico_geral
hidrocele,lactente,inchaço no escroto; líquido ao redor do testículo,clinico_geral
urticária,lactente,manchas vermelhas na pele; coceira; inchaço,dermatologico
dermatite atópica,lactente,pele seca; coceira; lesões avermelhadas,dermatologico
impetigo,lactente,bolhas na pele; crostas amarelas; coceira,dermatologico
doenças exantemáticas,lactente,febre; manchas vermelhas no corpo; mal-estar,clinico_geral
anemia,lactente,palidez; cansaço; falta de apetite,hematologico
anemia hemolítica,lactente,icterícia; aumento do baço; cansaço,hematologico
faringite,lactente,dor de garganta; febre; dificuldade para engolir,respiratorio
laringite,lactente,rouquidão; tosse seca; dificuldade para respirar,respiratorio
